,x,y,z
0,300,-450,50
1,300,-450,50
2,300,-450,50
3,300,-450,50
4,300,-450,50
5,300,-450,50
6,300,-450,50
7,300,-450,50
8,300,-450,50
9,300,-450,50
10,300,-450,50
11,300,-450,50
12,300,-450,50
13,300,-450,50
14,300,-450,50
15,300,-450,50
16,300,-450,50
17,300,-450,50
18,300,-450,50
19,300,-450,50
20,300,-450,50
21,300,-450,50
22,300,-450,50
23,300,-450,50
24,300,-450,50
25,300,-450,50
26,300,-450,50
27,300,-450,50
28,300,-450,50
29,300,-450,50
30,300,-450,50
31,300,-450,50
32,300,-450,50
33,300,-450,50
34,300,-450,50
35,300,-450,50
36,300,-450,50
37,300,-450,50
38,300,-450,50
39,300,-450,50
40,300,-450,50
41,300,-450,50
42,300,-450,50
43,300,-450,50
44,300,-450,50
45,300,-450,50
46,300,-450,50
47,300,-450,50
48,300,-450,50
49,300,-450,50
50,300,-450,50
51,300,-450,50
52,300,-450,50
53,300,-450,50
54,300,-450,50
55,300,-450,50
56,300,-450,50
57,300,-450,50
58,300,-450,50
59,300,-450,50
60,300,-450,50
61,300,-450,50
62,300,-450,50
63,300,-450,50
64,300,-450,50
65,300,-450,50
66,300,-450,50
67,300,-450,50
68,300,-450,50
69,300,-450,50
70,300,-450,50
71,300,-450,50
72,300,-450,50
73,300,-450,50
74,300,-450,50
75,300,-450,50
76,300,-450,50
77,300,-450,50
78,300,-450,50
79,300,-450,50
80,300,-450,50
81,300,-450,50
82,300,-450,50
83,300,-450,50
84,300,-450,50
85,300,-450,50
86,300,-450,50
87,300,-450,50
88,300,-450,50
89,300,-450,50
90,300,-450,50
91,300,-450,50
92,300,-450,50
93,300,-450,50
94,300,-450,50
95,300,-450,50
96,300,-450,50
97,300,-450,50
98,300,-450,50
99,300,-450,50
100,300,-450,50
101,300,-450,50
102,300,-450,50
103,300,-450,50
104,300,-450,50
105,300,-450,50
106,300,-450,50
107,300,-450,50
108,300,-450,50
109,300,-450,50
110,300,-450,50
111,300,-450,50
112,300,-450,50
113,300,-450,50
114,300,-450,50
115,300,-450,50
116,300,-450,50
117,300,-450,50
118,300,-450,50
119,300,-450,50
120,300,-450,50
121,300,-450,50
122,300,-450,50
123,300,-450,50
124,300,-450,50
125,300,-450,50
126,300,-450,50
127,300,-450,50
128,300,-450,50
129,300,-450,50
130,300,-450,50
131,300,-450,50
132,300,-450,50
133,300,-450,50
134,300,-450,50
135,300,-450,50
136,300,-450,50
137,300,-450,50
138,300,-450,50
139,300,-450,50
140,300,-450,50
141,300,-450,50
142,300,-450,50
143,300,-450,50
144,300,-450,50
145,300,-450,50
146,300,-450,50
147,300,-450,50
148,300,-450,50
149,300,-450,50
150,300,-450,50
151,300,-450,50
152,300,-450,50
153,300,-450,50
154,300,-450,50
155,300,-450,50
156,300,-450,50
157,300,-450,50
158,300,-450,50
159,300,-450,50
160,300,-450,50
161,300,-450,50
162,300,-450,50
163,300,-450,50
164,300,-450,50
165,300,-450,50
166,300,-450,50
167,300,-450,50
168,300,-450,50
169,300,-450,50
170,300,-450,50
171,300,-450,50
172,300,-450,50
173,300,-450,50
174,300,-450,50
175,300,-450,50
176,300,-450,50
177,300,-450,50
178,300,-450,50
179,300,-450,50
180,300,-450,50
181,300,-450,50
182,300,-450,50
183,300,-450,50
184,300,-450,50
185,300,-450,50
186,300,-450,50
187,300,-450,50
188,300,-450,50
189,300,-450,50
190,300,-450,50
191,300,-450,50
192,300,-450,50
193,300,-450,50
194,300,-450,50
195,300,-450,50
196,300,-450,50
197,300,-450,50
198,300,-450,50
199,300,-450,50
200,300,-450,50
201,300,-450,50
202,300,-450,50
203,300,-450,50
204,300,-450,50
205,300,-450,50
206,300,-450,50
207,300,-450,50
208,300,-450,50
209,300,-450,50
210,300,-450,50
211,300,-450,50
212,300,-450,50
213,300,-450,50
214,300,-450,50
215,300,-450,50
216,300,-450,50
217,300,-450,50
218,300,-450,50
219,300,-450,50
220,300,-450,50
221,300,-450,50
222,300,-450,50
223,300,-450,50
224,300,-450,50
225,300,-450,50
226,300,-450,50
227,300,-450,50
228,300,-450,50
229,300,-450,50
230,300,-450,50
231,300,-450,50
232,300,-450,50
233,300,-450,50
234,300,-450,50
235,300,-450,50
236,300,-450,50
237,300,-450,50
238,300,-450,50
239,300,-450,50
240,300,-450,50
241,300,-450,50
242,300,-450,50
243,300,-450,50
244,300,-450,50
245,300,-450,50
246,300,-450,50
247,300,-450,50
248,300,-450,50
249,300,-450,50
250,300,-450,50
251,300,-450,50
252,300,-450,50
253,300,-450,50
254,300,-450,50
255,300,-450,50
256,300,-450,50
257,300,-450,50
258,300,-450,50
259,300,-450,50
260,300,-450,50
261,300,-450,50
262,300,-450,50
263,300,-450,50
264,300,-450,50
265,300,-450,50
266,300,-450,50
267,300,-450,50
268,300,-450,50
269,300,-450,50
270,300,-450,50
271,300,-450,50
272,300,-450,50
273,300,-450,50
274,300,-450,50
275,300,-450,50
276,300,-450,50
277,300,-450,50
278,300,-450,50
279,300,-450,50
280,300,-450,50
281,300,-450,50
282,300,-450,50
283,300,-450,50
284,300,-450,50
285,300,-450,50
286,300,-450,50
287,300,-450,50
288,300,-450,50
289,300,-450,50
290,300,-450,50
291,300,-450,50
292,300,-450,50
293,300,-450,50
294,300,-450,50
295,300,-450,50
296,300,-450,50
297,300,-450,50
298,300,-450,50
299,300,-450,50
300,300,-450,50
301,300,-450,50
302,300,-450,50
303,300,-450,50
304,300,-450,50
305,300,-450,50
306,300,-450,50
307,300,-450,50
308,300,-450,50
309,300,-450,50
310,300,-450,50
311,300,-450,50
312,300,-450,50
313,300,-450,50
314,300,-450,50
315,300,-450,50
316,300,-450,50
317,300,-450,50
318,300,-450,50
319,300,-450,50
320,300,-450,50
321,300,-450,50
322,300,-450,50
323,300,-450,50
324,300,-450,50
325,300,-450,50
326,300,-450,50
327,300,-450,50
328,300,-450,50
329,300,-450,50
330,300,-450,50
331,300,-450,50
332,300,-450,50
333,300,-450,50
334,300,-450,50
335,300,-450,50
336,300,-450,50
337,300,-450,50
338,300,-450,50
339,300,-450,50
340,300,-450,50
341,300,-450,50
342,300,-450,50
343,300,-450,50
344,300,-450,50
345,300,-450,50
346,300,-450,50
347,300,-450,50
348,300,-450,50
349,300,-450,50
350,300,-450,50
351,300,-450,50
352,300,-450,50
353,300,-450,50
354,300,-450,50
355,300,-450,50
356,300,-450,50
357,300,-450,50
358,300,-450,50
359,300,-450,50
360,300,-450,50
